,movieId,userId,rating,timestamp
0,1,1,4.0,964982703
1,1,5,4.0,847434962
2,1,7,4.5,1106635946
3,1,15,2.5,1510577970
4,1,17,4.5,1305696483
5,1,18,3.5,1455209816
6,1,19,4.0,965705637
7,1,21,3.5,1407618878
8,1,27,3.0,962685262
9,1,31,5.0,850466616
10,1,32,3.0,856736119
11,1,33,3.0,939647444
12,1,40,5.0,832058959
13,1,43,5.0,848993983
14,1,44,3.0,869251860
15,1,45,4.0,951170182
16,1,46,5.0,834787906
17,1,50,3.0,1514238116
18,1,54,3.0,830247330
19,1,57,5.0,965796031
20,1,63,5.0,1443199669
21,1,64,4.0,1161520134
22,1,66,4.0,1104643957
23,1,68,2.5,1158531426
24,1,71,5.0,864737933
25,1,73,4.5,1464196374
26,1,76,0.5,1439165548
27,1,78,4.0,1252575124
28,1,82,2.5,1084467729
29,1,86,4.0,1344082549
30,1,89,3.0,1520408314
31,1,90,3.0,856353996
32,1,91,4.0,1112713037
33,1,93,3.0,942767337
34,1,96,5.0,964772990
35,1,98,4.5,1532457849
36,1,103,4.0,1431954238
37,1,107,4.0,829322340
38,1,112,3.0,1442535639
39,1,119,3.5,1435942468
40,1,121,4.0,847656180
41,1,124,4.0,1336584336
42,1,130,3.0,832589610
43,1,132,2.0,1157921785
44,1,134,3.0,832841103
45,1,135,4.0,1009691859
46,1,137,4.0,1204859907
47,1,140,3.0,942924980
48,1,141,4.0,1513130643
49,1,144,3.5,1137323419
50,1,145,5.0,832105242
51,1,151,5.0,855947195
52,1,153,2.0,1525548642
53,1,155,3.0,961861723
54,1,156,4.0,1106854640
55,1,159,4.5,1508640172
56,1,160,4.0,971115026
57,1,161,4.0,1176751765
58,1,166,5.0,1189980529
59,1,167,3.5,1154721923
60,1,169,4.5,1059427918
61,1,171,5.0,866904159
62,1,177,5.0,1435533535
63,1,178,4.0,1164354911
64,1,179,4.0,852114051
65,1,182,4.0,1063289621
66,1,185,4.0,1044311830
67,1,186,4.0,1031080831
68,1,191,4.0,829759809
69,1,193,2.0,1435856890
70,1,200,3.5,1229886312
71,1,201,5.0,939801780
72,1,202,4.0,974923506
73,1,206,5.0,850763267
74,1,213,3.5,1316196157
75,1,214,3.0,853937855
76,1,216,3.0,975211713
77,1,217,4.0,955942540
78,1,219,3.5,1194681084
79,1,220,5.0,1230055565
80,1,223,3.5,1226209758
